Karmn tess
J12495+094 402137342
J12505+269 356709833
J12508-213 398985964
J12513+221 198483345
J12576+352E 165916576
J12576+352W 165916579
J12583+405 371834383
J12594+077 422276122
J13000-056 175739886
J13005+056 411248800
J13007+123 ...
J13019+335 165977985
J13027+415 ...
J13047+559 155873175
J13054+371 458450210
J13068+308 ...
J13084+169 367674851
J13088+163 ...
J13089+490 272572913
J13095+289 359185852
J13102+477 137025855
J13113+285 219030073
J13118+253 445070887
J13130+201 199481655
J13140+038 366805125
J13142+792 155632341
J13143+133 282783165
J13165+278 459822373
J13167-123 335628483
J13168+170 373765353
J13168+231 371856631
J13179+362 180652806
J13180+022 393638658
J13182+733 298071899
J13195+351E 471011822
J13195+351W 105617786
J13196+333 105618383
J13197+477 393894049
J13209+342 ...
J13215+035 393672661
J13215+037 393672713
J13229+244 459826435
J13235+292 459827389
J13239+694 160042321
J13247-050 471015958
J13251-114 178999076
J13254+377 180696299
J13260+275 159202185
J13282+300 71595773
J13283-023E 115070879
J13283-023W 115070878
J13293+114 404510606
J13294-143 297146112
J13299+102 404519959
J13300-087 196679896
J13305+191 450341297
J13317+292 368129164
J13318+233 424735155
J13319+311 282835458
J13326+309 321426318
J13327+168 471011833
J13335+704 153977439
J13343+046 365159477
J13348+201 207385593
J13348+745 298159711
J13358+146 95566385
J13369+229 207388916
J13376+481 219824489
J13378+481 332278062
J13386+258 282812620
J13386-115 707346
J13388-022 175402124
J13394+461 458452740
J13401+437 288511747
J13413-091 743719
J13414+489 332299777
J13415+148 81248321
J13417+582 141816993
J13421-160 392493829
J13427+332 ...
J13430+090 379100900
J13434+111 379116123
J13444+516 311002348
J13445+249 199501610
J13450+176 ...
J13455+609 284184793
J13457+148 ...
J13458-179 286942673
J13477+214 328936940
J13481-137 471012728
J13482+236 417153632
J13485+563 141862887
J13488+041 392926945
J13490+026 392928034
J13503-216 437328392
J13507-216 437328411
J13508+367 23710001
J13518+127 72546623
J13526+144 72576236
J13528+656 284185810
J13528+668 154070383
J13529+536 141874552
J13534+129 ...
J13536+776 219463771
J13537+521 219040087
J13537+788 288129738
J13582+125 387009593
J13582-120 335741002
J13583-132 335740666
J13587-000 119132212
J13591-198 125421413
J14010-026 119147875
J14019+154 171769446
J14019+432 198150140
J14023+136 72599316
J14024-210 339386257
J14025+463N ...
J14025+463S 198151134
J14039+242 28197584
J14041+207 135154865
J14062+693 154107531
J14082+805 310000679
J14083+758 198511612
J14121-005 147699062
J14130-120 157170384
J14142-153 157414016
J14144+234 141331429
J14152+450 168707044
J14153+153 310416717
J14155+046 446416116
J14157+594 441697775
J14159+362 27351599
J14161+233 135170902
J14170+105 421734420
J14170+317 ...
J14171+088 421734057
J14173+454 168747450
J14174+454 168747453
J14175+025 446420914
J14177+214 135220483
J14179-005 451373789
J14189+386 ...
